Application,Name,Type,sourceLanguage,mainDirectory,subDirectory,fileName,fileExtension,JavaComments,CCType,Scope,NewProgramName,FunctionalArea,JavaClass,comments
GROUP,S7501SCR,CPY,,DIARY,CPY,S7501SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7502,DSPF,,DIARY,EDDS,S7502,DSPF,,,,,DBCHDRY,,
GROUP,S7502SCR,CPY,,DIARY,CPY,S7502SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7503,DSPF,,DIARY,EDDS,S7503,DSPF,,,,,DBCHDRY,,
GROUP,S7503SCR,CPY,,DIARY,CPY,S7503SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7505,DSPF,,DIARY,EDDS,S7505,DSPF,,,,,DBCHDRY,,
GROUP,S7505SCR,CPY,,DIARY,CPY,S7505SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7506,DSPF,,DIARY,EDDS,S7506,DSPF,,,,,DBCHDRY,,
GROUP,S7506SCR,CPY,,DIARY,CPY,S7506SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7507,DSPF,,DIARY,EDDS,S7507,DSPF,,,,,DBCHDRY,,
GROUP,S7507SCR,CPY,,DIARY,CPY,S7507SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7508,DSPF,,DIARY,EDDS,S7508,DSPF,,,,,DBCHDRY,,
GROUP,S7508SCR,CPY,,DIARY,CPY,S7508SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7509,DSPF,,DIARY,EDDS,S7509,DSPF,,,,,DBCHDRY,,
GROUP,S7509SCR,CPY,,DIARY,CPY,S7509SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7510,DSPF,,DIARY,EDDS,S7510,DSPF,,,,,DBCHDRY,,
GROUP,S7510SCR,CPY,,DIARY,CPY,S7510SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7511,DSPF,,DIARY,EDDS,S7511,DSPF,,,,,DBCHDRY,,
GROUP,S7511SCR,CPY,,DIARY,CPY,S7511SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7521,DSPF,,DIARY,EDDS,S7521,DSPF,,,,,DBCHDRY,,
GROUP,S7521SCR,CPY,,DIARY,CPY,S7521SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7522,DSPF,,DIARY,EDDS,S7522,DSPF,,,,,DBCHDRY,,
GROUP,S7522SCR,CPY,,DIARY,CPY,S7522SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7523,DSPF,,DIARY,EDDS,S7523,DSPF,,,,,DBCHDRY,,
GROUP,S7523SCR,CPY,,DIARY,CPY,S7523SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7524,DSPF,,DIARY,EDDS,S7524,DSPF,,,,,DBCHDRY,,
GROUP,S7524SCR,CPY,,DIARY,CPY,S7524SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7525,DSPF,,DIARY,EDDS,S7525,DSPF,,,,,DBCHDRY,,
GROUP,S7525SCR,CPY,,DIARY,CPY,S7525SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7526,DSPF,,DIARY,EDDS,S7526,DSPF,,,,,DBCHDRY,,
GROUP,S7526SCR,CPY,,DIARY,CPY,S7526SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7527,DSPF,,DIARY,EDDS,S7527,DSPF,,,,,DBCHDRY,,
GROUP,S7527SCR,CPY,,DIARY,CPY,S7527SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7528,DSPF,,DIARY,EDDS,S7528,DSPF,,,,,DBCHDRY,,
GROUP,S7528SCR,CPY,,DIARY,CPY,S7528SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7529,DSPF,,DIARY,EDDS,S7529,DSPF,,,,,DBCHDRY,,
GROUP,S7529SCR,CPY,,DIARY,CPY,S7529SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7530,DSPF,,DIARY,EDDS,S7530,DSPF,,,,,DBCHDRY,,
GROUP,S7530SCR,CPY,,DIARY,CPY,S7530SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7531,DSPF,,DIARY,EDDS,S7531,DSPF,,,,,DBCHDRY,,
GROUP,S7531SCR,CPY,,DIARY,CPY,S7531SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7532,DSPF,,DIARY,EDDS,S7532,DSPF,,,,,DBCHDRY,,
GROUP,S7532SCR,CPY,,DIARY,CPY,S7532SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7533,DSPF,,DIARY,EDDS,S7533,DSPF,,,,,DBCHDRY,,
GROUP,S7533SCR,CPY,,DIARY,CPY,S7533SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7534,DSPF,,DIARY,EDDS,S7534,DSPF,,,,,DBCHDRY,,
GROUP,S7534SCR,CPY,,DIARY,CPY,S7534SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7535,DSPF,,DIARY,EDDS,S7535,DSPF,,,,,DBCHDRY,,
GROUP,S7535SCR,CPY,,DIARY,CPY,S7535SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7536,DSPF,,DIARY,EDDS,S7536,DSPF,,,,,DBCHDRY,,
GROUP,S7536SCR,CPY,,DIARY,CPY,S7536SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7537,DSPF,,DIARY,EDDS,S7537,DSPF,,,,,DBCHDRY,,
GROUP,S7537SCR,CPY,,DIARY,CPY,S7537SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7538,DSPF,,DIARY,EDDS,S7538,DSPF,,,,,DBCHDRY,,
GROUP,S7538SCR,CPY,,DIARY,CPY,S7538SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7539,DSPF,,DIARY,EDDS,S7539,DSPF,,,,,DBCHDRY,,
GROUP,S7539SCR,CPY,,DIARY,CPY,S7539SCR,CPY,,SRC,,,DBCHDRY,,
GROUP,S7540,DSPF,,DIARY,EDDS,S7540,DSPF,,,,,DBCHDRY,,
